Title,Artist,Link,Details
Communicating with Prisoners,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=communicating-with-prisoners-by-jack-b-yeats-1871-1957,"Date: c. 1924Dimensions: 59 × 44cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Purchased by public subscription from the Capuchin Annual in 1962
Description:
This is one of Yeats’s most important depictions of life in Dublin in the early years of the Free State. A group of women call up to republican prisoners incarcerated in Kilmainham Jail. The latter, also women, have been interned by the Free State government for their involvement in the Civil War. They have broken the windows of the jail, through which one figure can be seen leaning out, to shout messages to their friends below. Yeats juxtaposes the sombre tower of the jail with a brightly coloured hoarding on which advertisements for bazaars and entertainments are pasted.
These contrasting forms convey the conflicting experiences of communication in Ireland in this period, one of censorship and control, the other of opportunity and apparent freedom of choice. The line of standing women makes a visual connection between the two horizontal elements of the tower and the hoarding. Their proximity to the posters and the variety of the women’s attire show that they are part of modern Ireland but their frustrated attempts to converse with the prisoners contradicts any notion of freedom. Hilary Pyle thinks that the work may have been painted from a photograph (1). It uses a stark composition in which the undulating outline of the women is mirrored by the blue silhouette of the houses in the distance behind them.
(1) Hilary Pyle, Jack B. Yeats. A Catalogue Raisonné of the Oil Paintings, London, 1992, I, no, 246, p.221.
Written by Roisin Kennedy"
Country Scene,Maurice MacGonigal PRHA (1900 – 1979),https://www.themodel.ie/?artwork=country-scene-by-maurice-macgonigal-prha-1900-1979,"Date: N.D.Dimensions: 75.25 × 62 × 75.25cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Presented by James A Healy, 1975 (Josephine C Healy Memorial Collection)
Description:
The son of a painter and decorator from Sligo, Maurice MacGonigal was born in Dublin and gained his early art education through an apprenticeship in his uncle’s stained glass firm. This studio, owned by Joshua Clarke, was also the artistic nursery for MacGonigal’s cousin Harry Clarke, who became Ireland’s most celebrated stained glass artist.In 1917, MacGonigal’s political convictions led him to join Na Fianna Éireann, the nationalist youth organisation founded in 1909 by Constance Markievicz and Bulmer Hobson. Graduating to the Irish Republican Army, he took part in military activities that led to his arrest and imprisonment in Kilmainham Jail and Ballykinlar Camp, Co. Down.
After his release he attended evening classes at the Dublin Metropolitan School of Art and soon won a scholarship for full time study. Like his contemporary, Seán Keating, MacGonigal was to play an influential role in the shaping of twentieth-century Irish art. He was Professor of Painting at the National College of Art from 1954–1969 and took over the Presidency of the Royal Hibernian Academy when Keating resigned in 1962.Depicting an old man and his dog in an unspecified western landscape, Country Scene displays the influence of Paul Henry’s picturesque images of thatched cottages under benign cloud-filled skies.
Written by Riann Coulter"
Fortune and her wheel,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=fortune-and-her-wheel-by-jack-b-yeats-1871-1957,"Date: 1902Dimensions: 43.5 × 28.5cmMedium: Pencil and poster paint on cardCollection: Niland CollectionProvenance: Presented by James A. Healy in 1965
Description:
A woman sits with a fortune wheel on a stone wall surrounded by a crowd of men. To her right a bearded man in theatrical costume holds out bags of money, displaying the prize on offer. A customer puts a coin in the woman’s hand, while another figure walks away clenching his fists to his face, having lost his money. A third man lies curled up asleep under the wall oblivious to the event. To the left a wheel-like semi-circle of men stand transfixed by the couple and their wheel.
The painting with its silver sky is a parody of the historical subject of Fortune and Her Wheel which uses an allegorical female figure and her spinning wheel to represent the capricious nature of fate. Yeats transfers the subject to an Irish fairground and enlivens it through the diverse characters he depicts. The work displays Yeats’s sense of humour and his insight into human nature as well as his willingness to subvert high art subject matter and present it in terms which are accessible and amusing.
Written by Roisin Kennedy"
G’Morrow Strawberry,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=gmorrow-strawberry-by-jack-b-yeats-1871-1957,"Date: 1903Dimensions: 14.5 × 9.5cmMedium: Pencil and watercolour on paperCollection: Niland CollectionProvenance: Lent by Ms Kathleen Goodfellow in 1971, and later presented to the collection.
Description:
The tiny dimensions of this work indicate that it was probably originally a page from one of the Yeats’s pocket-sized sketchbooks. Its humorous image shows a donkey ‘kissing’ a foal. Yeats his inscribed it ‘G’morrow Strawberry’, the typical sort of droll comment given by the artist to his sketches. Yeats presented the work to the poet and editor of the Dublin Magazine, Seamus O’Sullivan in 1945. He gave away a number of his early sketchbooks and drawings to friends and supporters at this time. He may have decided to give this particular painting to O’Sullivan as Yeats’s scrapbook of newspaper cuttings reveal that O’Sullivan had referred to it as ‘irresistible’ in a review in the United Irishman some forty years previously.
Written by Roisin Kennedy"
He Wins,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=he-wins-by-jack-b-yeats-1871-1957,"Date: 1949Dimensions: 35.5 × 23cmMedium: Oil on panelCollection: Niland CollectionProvenance: Given on perpetual loan by Ria Mooney in 1970
Description:
This late oil painting recalls the strand races that Jack Yeats attended in Sligo as a youth and which formed an important theme in his early watercolour paintings of Irish life. In this work, unlike many of the early renditions, Yeats does not refer to the characters and the wider paraphernalia of such events. While a group of bystanders is visible in the background to the left, the main focus of the painting is the race itself. The horses and riders gallop at great speed across the sands. One of the horses, a large black animal, moves across to the left, racing in a slightly different direction to the others. Perhaps it is this horse, or its jockey, to which the title of the painting refers.
The low viewpoint gives an unusual vista of the race, heightening the sense of movement and capturing the speed and drama of the occasion. The strong colours of the horses and jockeys are diffused by the strong white of the sky. The technique is as dynamic and vivacious as the subject it depicts.
Written by Roisin Kennedy"
Head of Boy,Sean Keating PRHA (1889 -1977),https://www.themodel.ie/?artwork=head-of-boy-by-sean-keating-prha-1889-1977,"Date: N.D.Dimensions: 27 × 34.5cmMedium: Oil on boardCollection: Niland CollectionProvenance: Presented by James A Healy, 1975 (Josephine C Healy Memorial Collection)"
Jesus Walking on the Sea,Patrick Hall (b.1935),https://www.themodel.ie/?artwork=jesus-walking-on-the-sea-by-patrick-hall-b-1935,"Date: 2001Medium: Oil on canvasCollection: Niland CollectionProvenance: Gift from the Artist to the Model Arts and Niland Gallery, 2003"
John McGahern,Nick Miller (b.1962),https://www.themodel.ie/?artwork=john-mcgahern-by-nick-miller-b-1962,"Date: 1998Dimensions: 86.5 × 95.5cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Purchased in 2000
Description:
Miller’s portraits of artists and writers, people with whom he has a creative affinity, are particularly powerful. This image of the author John McGahern (1934–2006), who lived near Miller, is one of the most successful literary portraits in recent Irish art.
Like Barrie Cooke, John McGahern, shared Miller’s devotion to life in the west of Ireland. While both painters are foreigners who chose to settle in rural Sligo, McGahern was born into a farming background in Leitrim and after years in Dublin and London, returned to the way of life that inspired much of his literature.
Miller recalls that, while sitting for this portrait, McGahern entertained him with stories about his years in London and the people he met there including Francis Bacon and Lucian Freud. Astonishingly, McGahern never looked at the portrait in progress and probably never saw the finished piece. He was happy to sit for Miller but feared that he wouldn’t know what to make of a likeness of himself.
Despite such claims, the process of sitting for Miller may have influenced McGahern’s 2002 novel That They May Face The Rising Sun, which includes an artist character who has come to live in the west.
Written by Riann Coulter"
Johnny Patterson singing ‘Bridget Donoghue’ (The Singing Clown),Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=johnny-patterson-singing-bridget-donoghue-the-singing-clown-by-jack-b-yeats-1871-1957,"Date: 1928Dimensions: 59 × 45cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Presented by James A. Healy in New York to Sligo County Library and Museum. In memory of his parents, John and Catherine Healy in 1966.
Description:
The clown was a figure of unending fascination for Yeats who, like other modernist artists, saw parallels between his role as an artist and that of the clown within the circus. This painting depicts a specific historical figure, the legendary Johnny Patterson (1840-89). Yeats saw him perform in Sligo as a child and he appears in a number of his later oil paintings. An acrobat and circus performer, Patterson went to New York in 1879 where he met with great success. After his return to Ireland he set up his own circus company, Patterson’s Great United States Circus. His writing and performing of his own songs, such as Bridget Donoghue, earned him the title of the Singing Clown. Patterson died tragically as a result of injuries sustained by an attack in the circus ring when members of the crowd reacted violently to his rendition of a political song.
Patterson is shown singing to a crowd in a circus tent. Beside him stand enthusiastic members of the audience who have come down from their seats to join him in the ring. Patterson is set apart from them by his elevated position and by his clown’s make-up and elaborate costume which was embroidered with shamrocks and Celtic harps.
Written by Roisin Kennedy"
Landscape with Picnic Scene,George William Russell (AE) (1867-1935),https://www.themodel.ie/?artwork=landscape-with-picnic-scene-by-george-william-russell-ae-1867-1935,"Date: N.D.Dimensions: 81.5 × 53.5cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Presented by James A Healy, 1966 (John & Catherine Healy Memorial Collection)"
Landscape with Woman and Children,George William Russell (AE) (1867-1935),https://www.themodel.ie/?artwork=landscape-with-woman-and-children-by-george-william-russell-ae-1867-1935,"Date: N.D.Dimensions: 80 × 52.5cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Presented by James A Healy, 1966, (John & Catherine Healy Memorial Collection)"
Leaving the Far Point,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=leaving-the-far-point-by-jack-b-yeats-1871-1957,"Date: 1946Dimensions: 45 × 34.5cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Presented by the artist to Sligo Corporation in 1954.
Description:
Jack Yeats gave this painting to his wife Cottie on her birthday in 1947. She died two months later. It shows Yeats, Cottie and his favourite uncle, George Pollexfen, walking at Rosses Point, on the north side of Sligo bay. The image is probably based on an imagined occasion. It is therefore a conglomeration of memories in which Yeats brings together two of the most influential people in his life. In the painting the figures are almost subsumed into the surrounding sea and sky, their forms tenuously delineated in paint, in a manner analogous to the vagaries of memory itself. Cottie and George are placed with Yeats in a favourite and cherished location. George Pollexfen had a summer house at Rosses Point where Jack visited him as a young man. The death of George in 1910 severed the familial connection with Sligo and was, like the death of Cottie nearly forty years later, an important psychological event in the artist’s life. At the end of his own life Yeats gave the painting to Sligo and wrote in his accompanying letter to the Mayor of Sligo that ‘From the beginning of my painting life every painting which I have made has somewhere in it a thought of Sligo’.
Written by Roisin Kennedy"
Market Day,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=market-day-by-jack-b-yeats-1871-1957,"Date: 1906Dimensions: 35.5 × 25.25cmMedium: WatercolourProvenance: Purchased by public subscription from the Capuchin Annual, 1962
Fair days and market days fascinated Jack Yeats whose sketchbooks record the strange sights and characters to be seen at such events. This early watercolour features a stall in a country Irish town. In the background the quiet sunlit street is temporarily transformed by galloping horses ridden by farmers determined to get their business done and return to their work. The foreground is dominated by the covered stall, tended by a young woman in a large brimmed hat who patiently observes the goods. The latter is a remarkably eclectic collection of items which indicates both the comparative simplicity of the times and some of the main concerns of the population. Religious magazines, the linnet songbook and the book of fate make up the reading matter, while apples and jars of sweets provide edible treats. Among the other items a pipe and packets of tobacco are identifiable.
This very ordinary subject is transformed by the unusual viewpoint taken by Yeats which is really that of a potential customer standing beneath the strong blue canopy. The intense sunshine beams down on this structure and sends a strong blue tinge over the brim of the stall holder’s hat, casting her features in a strange blue shadow. The pole supporting the canopy divides the composition dramatically into two uneven parts.
Written by Roisin Kennedy"
"Maunder’s Fish Shop, Chelsea",James McNeill Whistler (1834 – 1903),https://www.themodel.ie/?artwork=maunders-fish-shop-in-chelsea-by-james-mcneill-whistler-1834-1903,"Date: N.D.Dimensions: 18 × 20.5cmMedium: LithographCollection: Niland CollectionProvenance: Presented by The Friends of The National Collections of Ireland
Description
One of several images of shops that he created, Maunder’s Fish Shop, Chelsea dates to Whistler’s second period of lithography which was partly inspired by the resurgence of interest in the medium among French artists including Toulouse-Lautrec and Bonnard. Mrs Elizabeth Maunder’s fish-shop had been long established on Cheyne Walk, Chelsea, where Whistler lived for a period (1). Chelsea is now one of the most expensive addresses in London but during the 1890s it was a largely working class neighborhood. The presence of Whistler and other artistic figures, including the Irish art dealer and collector Hugh Lane, contributed to the gentrification of the area.
1. Margaret F. MacDonald, James McNeill Whistler: Drawings, Pastels and Watercolours, A Catalogue Raisonné, New Haven & London, 1995, p.569.
Written by Riann Coulter"
Mountain window,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=mountain-window-by-jack-b-yeats-1871-1957,"Date: 1946Dimensions: 34.5 × 22cmMedium: Oil on boardCollection: Niland CollectionProvenance: Presented by Ria Mooney to Sligo County and Museum in 1970.
Description:
This tiny painting belonged to Ria Mooney, an actress and the first woman producer at the Abbey Theatre. She worked on two of Jack Yeats’s plays there in the 1940s. Mooney presented this work and another Yeats painting, He Wins, to Sligo.
Mooney may have been drawn to this work because of its use of theatrical conceit. It is an ambiguous view of a Ben Bulben seen through a cottage window, apparently based on a memory of a scene from the house of a great-aunt of Yeats, who lived above the Rosses in Co.Sligo. The lady was known as Aunt Mickey and her home had a commanding view of Ben Bulben. The cosy image of an Irish country garden with climbing foliage and luscious window boxes contrasts with the austere form of the mountain viewed in the distance. The result is a sensuous and complex image of the famous Sligo mountain and the surrounding countryside.
Written by Roisin Kennedy"
Old Kitty,Sean Keating PRHA (1889 -1977),https://www.themodel.ie/?artwork=old-kitty-by-sean-keating-prha-1889-1977,"Date: N.D.Dimensions: 74 × 62cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Presented by James A. Healy in 1975 (Josephine C. Healy Memorial Collection)
Description:
Dublin gallery owner Victor Waddington showed Keating’s work from 1925 until 1957. In 1928 possibly because Keating’s work was selling well, Waddington commissioned from the artist two paintings featuring west of Ireland types. The first of these was ‘Old Kitty’ and the other was ‘The Turf Buyer’ (1928).
Keating was evidently pleased with Old Kitty and he returned to the theme again. He made a pastel study of old Kitty in 1930 in which he removed ll other visual elements and concentrated on her features. The drawing was shown by Victor Waddington at the Dublin Horse Show in 1931 and in the RHA the same year. (O’ Connor, E (2009). Sean Keating: In Focus. Limerick: Hunt Museum.)
Written by Riann Coulter"
Port Rachrainn,Maurice MacGonigal PRHA (1900 – 1979),https://www.themodel.ie/?artwork=port-rachrainn-by-maurice-macgonigal-prha-1900-1979,"Date: N.D.Dimensions: 76.5 × 51cmMedium: Oil on canvasCollection: Niland CollectionProvenance: On loan from the Haverty Trust
Description:
Maurice MacGonigal’s oeuvre included set designs for the Abbey Theatre, illustrations for Cuala Press and a mural for the Irish Pavilion at the New York World Fair. Despite this diversity, the work for which he is best remembered are his images of the landscape and people of the west of Ireland, particularly Connemara, Donegal and the islands of Achill and Aran. Less well known are his land and seascapes inspired by North County Dublin where he painted around Loughshinny, Rush, Skerries and Portrane.
The setting for this painting is the seashore at Portrane, which was traditionally known as Port Rachrainn. The unusual composition focuses on the abstracted patterns made by the lichen covered rocks in the foreground rather than Portrane Martello Tower which can be seen in the distance. Built during the nineteenth-century, at sites throughout the British Empire, Martello towers are small forts originally designed to defend the coasts of England and Ireland from invasion by Napoleonic forces. Around fifty Martello towers were built in Ireland, including a number on Dublin Bay all in sight of one another for communication purposes. The few surviving towers include this one at Portrane and the tower at Sandycove in which James Joyce once lived.
Written by Riann Coulter"
Portrait,Marie Foley (b.1959),https://www.themodel.ie/?artwork=portrait-by-marie-foley-b-1959,"Date: 1994Dimensions: 450 × 100 × 280cmMedium: Wood, porcelain, metalCollection: Graeve CollectionProvenance: Acquired from the artist by Jobst Graeve"
Portrait Figure of an Irish Gentleman,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=portrait-figure-of-an-irish-gentleman-by-jack-b-yeats-1871-1957,"Date: c. 1900Dimensions: 25.5 × 35.5cmMedium: WatercolourCollection: Niland CollectionProvenance: Presented to Sligo County Library and Museum in by James A. Healy in 1965, as a memorial to his parents John and Catherine Healy.
Description:
The original title of the painting has not been identified. It is probably the ‘Head and Shoulders of a Man with Landscape’ listed in the inventory of John Quinn’s collection in 1924. Hilary Pyle has compared the image of man silhouetted against a coastal landscape with one used by Yeats to illustrate A Broadsheet of February 1903. The latter was accompanied by Lady Gregory’s translation of ‘It’s my grief that I am of the race of poets’(1).
The Niland watercolour uses a blend of murky browns and strong greens in an expressive manner typical of Yeats’s early work in this medium. The painting is full of formal and thematic contrasts. The age and pensive nature of the man is contrasted by the youth and physical activity of the two swimmers in the sea behind him. The dramatic spatial gap between the figure in the foreground and the expanding coastline behind him further evokes the difference between his world of contemplative thought and the ongoing one of nature and physical life that surrounds him. It is a theme that Yeats was to develop in his later paintings for example, Many Ferries, (1948, National Gallery of Ireland) which uses a similar composition.
(1) H. Pyle, Jack B. Yeats. His Watercolours and Pastels, Irish Academic Press, 1993, p.94.
Written by Roisin Kennedy"
Portrait of a Girl (woman with white collar) by Artist Unknown,Artist Unknown,https://www.themodel.ie/?artwork=portrait-of-a-girl-woman-with-white-collar-by-artist-unknown,Date: N.D.Dimensions: 29.5 × 44.25cmMedium: OilCollection: Niland CollectionProvenance: Unknown
Portrait of a Woman,Estella Solomons (1882-1968),https://www.themodel.ie/?artwork=portrait-of-a-woman-by-estella-solomons-1882-1968,"Date: N.D.Dimensions: 39 × 48.5cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Bequest of Ms Kathleen Goodfellow, 1980
Description:
The subject of this intimate portrait is Solomons’ close friend Kathleen Goodfellow (1891–1980). Born in Dublin, Goodfellow was a poet and writer who published under the pseudonym Michael Scot. The two women, who were both members of Cumann na mBan, first met during the Easter Rising while sheltering from bullets on Mount Street.
In 1926, Solomons married the poet and editor James Starkey who was better known by his pen name, Seumas O’Sullivan. Together they produced the influential Dublin Magazine which played a significant role in encouraging Irish art and literature from the 1920s until O’Sullivan’s death in 1958. Goodfellow both contributed to, and was the primary patron of this publication. In 1938 Solomons and O’Sullivan became Goodfellow’s neighbours when they rented one of her houses on Morehampton Road, Donnybrook. The house, along with many others on the street, was owned by Goodfellow whose private income came from family property (1).
During their long friendship, Solomons’ painted her friend several times. Two of these portraits, both bequeath by Goodfellow, are in the Model and Niland Collection, another is in the National Gallery of Ireland.
1. Dardis Clarke, ‘The Dark Lady of the Dublin Magazine’, Irish Times, 13 February, 1981.
Written by Riann Coulter"
